,제목,스크린샷,별점,예매율
0,테넷,https://movie-phinf.pstatic.net/20200728_86/15959209130236RePy_JPEG/movie_image.jpg,['8.27'],['42.38']
1,뮬란,https://movie-phinf.pstatic.net/20200827_174/1598496595000hDi9H_JPEG/movie_image.jpg,['4.48'],['31.91']
2,오! 문희,https://movie-phinf.pstatic.net/20200805_234/1596591608915HqeqM_JPEG/movie_image.jpg,['8.09'],['6.81']
3,기기괴괴 성형수,https://movie-phinf.pstatic.net/20200901_11/1598922866258hETJp_JPEG/movie_image.jpg,['6.92'],['5.62']
4,다만 악에서 구하소서,https://movie-phinf.pstatic.net/20200706_191/1594001490577tifkl_JPEG/movie_image.jpg,['7.68'],['1.69']
5,테스와 보낸 여름,https://movie-phinf.pstatic.net/20200814_33/1597368744647OfBOS_JPEG/movie_image.jpg,['9.30'],['1.47']
6,뉴 뮤턴트,https://movie-phinf.pstatic.net/20200910_94/1599703996013taV6z_JPEG/movie_image.jpg,['6.63'],['1.31']
7,극장판 짱구는 못말려 신혼여행 허리케인~ 사라진 아빠!,https://movie-phinf.pstatic.net/20200806_196/1596705003939WIMwG_JPEG/movie_image.jpg,['8.92'],['1.11']
8,매지컬 공주를 웃겨라,https://movie-phinf.pstatic.net/20200902_264/1599023779693070wc_JPEG/movie_image.jpg,['7.25'],['1.05']
9,도망친 여자,https://movie-phinf.pstatic.net/20200728_203/1595913814604s1znL_JPEG/movie_image.jpg,['7.68'],['1.03']
10,지니어스 독,https://movie-phinf.pstatic.net/20200827_168/1598501717302lk8I4_JPEG/movie_image.jpg,['8.24'],['0.92']
11,더 렌탈 소리없는 감시자,https://movie-phinf.pstatic.net/20200729_206/1596003966519nLjxA_JPEG/movie_image.jpg,['5.35'],['0.87']
12,비독 파리의 황제,https://movie-phinf.pstatic.net/20200827_220/15985066611215US1B_JPEG/movie_image.jpg,['7.55'],['0.72']
13,에이바,https://movie-phinf.pstatic.net/20200904_274/15991979769836Rx4f_JPEG/movie_image.jpg,['4.77'],['0.41']
14,남매의 여름밤,https://movie-phinf.pstatic.net/20200721_100/1595307510654a6eNC_JPEG/movie_image.jpg,['9.06'],['0.4']
15,공포분자,https://movie-phinf.pstatic.net/20200728_227/1595916020037z3gR6_JPEG/movie_image.jpg,['8.80'],['0.27']
16,카일라스 가는 길,https://movie-phinf.pstatic.net/20200819_123/1597800319922Cfq3M_JPEG/movie_image.jpg,['9.67'],['0.26']
17,드라이브,https://movie-phinf.pstatic.net/20200909_204/1599617656986wzIGp_JPEG/movie_image.jpg,['8.05'],['0.24']
18,어트랙션,https://movie-phinf.pstatic.net/20200908_113/1599542183885Ek9A2_JPEG/movie_image.jpg,['8.58'],['0.23']
19,나를 구하지 마세요,https://movie-phinf.pstatic.net/20200828_264/1598606865588n9WXo_JPEG/movie_image.jpg,['9.56'],['0.17']
20,69세,https://movie-phinf.pstatic.net/20200804_267/1596505576712zw2dt_JPEG/movie_image.jpg,['8.63'],['0.14']
21,오케이 마담,https://movie-phinf.pstatic.net/20200812_245/159719521887011fjF_JPEG/movie_image.jpg,['6.47'],['0.08']
22,동아시아반일무장전선,https://movie-phinf.pstatic.net/20200727_181/1595825046794nQhvY_JPEG/movie_image.jpg,['6.94'],['0.06']
23,하워즈 엔드,https://movie-phinf.pstatic.net/20200824_269/1598249450570ujD8F_JPEG/movie_image.jpg,['7.12'],['0.06']
24,후쿠오카,https://movie-phinf.pstatic.net/20200805_260/1596603002193WdUdN_JPEG/movie_image.jpg,['6.81'],['0.05']
25,소년시절의 너,https://movie-phinf.pstatic.net/20200710_218/15943587674860cQNT_JPEG/movie_image.jpg,['9.37'],['0.04']
26,라붐,https://movie-phinf.pstatic.net/20200506_44/1588745673298syS7i_JPEG/movie_image.jpg,['7.96'],['0.04']
27,아무도 없다,https://movie-phinf.pstatic.net/20200901_2/1598926651745WdcSn_JPEG/movie_image.jpg,['6.28'],['0.02']
28,제리 맥과이어,https://movie-phinf.pstatic.net/20170117_81/1484617946654rfLEh_JPEG/movie_image.jpg,['9.17'],['0.02']
29,치어리딩 클럽,https://movie-phinf.pstatic.net/20200910_288/15997115593797SfBW_JPEG/movie_image.jpg,['9.73'],['0.02']
30,워터 릴리스,https://movie-phinf.pstatic.net/20200721_78/1595297783123YfmzE_JPEG/movie_image.jpg,['9.03'],['0.02']
31,도쿄의 밤하늘은 항상 가장 짙은 블루,https://movie-phinf.pstatic.net/20190108_234/1546911090475fnP5k_JPEG/movie_image.jpg,['8.14'],['0.02']
32,그랜드 부다페스트 호텔,https://movie-phinf.pstatic.net/20180927_158/1538023433590U7S2w_JPEG/movie_image.jpg,['8.38'],['0.02']
33,너의 새는 노래할 수 있어,https://movie-phinf.pstatic.net/20200323_292/1584931659805XcQge_JPEG/movie_image.jpg,['8.23'],['0.02']
34,패왕별희 디 오리지널,https://movie-phinf.pstatic.net/20200414_29/15868256845244B38u_JPEG/movie_image.jpg,['9.32'],['0.01']
35,반교 디텐션,https://movie-phinf.pstatic.net/20200813_98/15973043908847Ojuu_JPEG/movie_image.jpg,['7.80'],['0.01']
36,라라랜드,https://movie-phinf.pstatic.net/20161123_188/1479862185516tYkKO_JPEG/movie_image.jpg,['8.61'],['0.01']
37,극장판 시로바코,https://movie-phinf.pstatic.net/20200731_229/1596179076382xcIQ4_JPEG/movie_image.jpg,['8.43'],['0.01']
38,타오르는 여인의 초상,https://movie-phinf.pstatic.net/20191220_49/1576828214038i4ukE_JPEG/movie_image.jpg,['9.05'],['0.01']
39,마티아스와 막심,https://movie-phinf.pstatic.net/20200707_140/1594088533585ADVHN_JPEG/movie_image.jpg,['8.30'],['0.01']
40,누구의 딸도 아닌 해원,https://movie-phinf.pstatic.net/20130122_247/13588212699202NGbf_JPEG/movie_image.jpg,['6.66'],['0.01']
41,메피스토,https://movie-phinf.pstatic.net/20200902_128/1599025089987erA4W_JPEG/movie_image.jpg,['9.56'],['0.01']
42,부다페스트 로큰롤,https://movie-phinf.pstatic.net/20200811_248/1597124726849gBB2o_JPEG/movie_image.jpg,['8.48'],['0.01']
43,베를린 천사의 시,https://movie-phinf.pstatic.net/20111223_110/1324571122810lIwU3_JPEG/movie_image.jpg,['8.65'],['0.01']
44,다른나라에서,https://movie-phinf.pstatic.net/20120509_272/1336541418910AJG5J_JPEG/movie_image.jpg,['6.91'],['0.01']
45,부다페스트 느와르,https://movie-phinf.pstatic.net/20180222_183/1519264543541PqGqJ_JPEG/movie_image.jpg,['7.67'],['0.01']
46,자유의 언덕,https://movie-phinf.pstatic.net/20140806_62/1407316865481jNX7n_JPEG/movie_image.jpg,['7.65'],['0.01']
47,소년 아메드,https://movie-phinf.pstatic.net/20200715_118/1594788326147GKSI3_JPEG/movie_image.jpg,['8.09'],['0.01']
48,캐롤,https://movie-phinf.pstatic.net/20160118_158/1453081907000rvGhn_JPEG/movie_image.jpg,['8.59'],['0.01']
49,시크릿 가든,https://movie-phinf.pstatic.net/20200818_136/15977306496984KVOK_JPEG/movie_image.jpg,['7.68'],['0.01']
50,북촌방향,https://movie-phinf.pstatic.net/20111223_70/13246441678875zVXv_JPEG/movie_image.jpg,['7.79'],['0.01']
51,우리 선희,https://movie-phinf.pstatic.net/20130809_3/1376017813481RzK9M_JPEG/movie_image.jpg,['7.56'],['0.01']
52,우먼 인 할리우드,https://movie-phinf.pstatic.net/20191018_15/1571360462324WQkVL_JPEG/movie_image.jpg,['9.29'],['0.01']
53,반도,https://movie-phinf.pstatic.net/20200624_137/15929908359489lOON_JPEG/movie_image.jpg,['5.82'],['0.01']
54,아임 낫 데어,https://movie-phinf.pstatic.net/20111222_174/1324525735010ilHfx_JPEG/movie_image.jpg,['8.02'],['0.01']
55,도미노,https://movie-phinf.pstatic.net/20200521_156/1590023847487RPePK_JPEG/movie_image.jpg,['5.27'],['0.01']
56,여름날,https://movie-phinf.pstatic.net/20200723_28/15954673419830kefG_JPEG/movie_image.jpg,['8.81'],['0.01']
57,이별의 목적,https://movie-phinf.pstatic.net/20200812_120/1597199918802KreFN_JPEG/movie_image.jpg,['7.10'],미개봉
58,인셉션,https://movie-phinf.pstatic.net/20200114_147/1578963901287frmdl_JPEG/movie_image.jpg,['9.23'],미개봉
59,주식회사 스페셜액터스,https://movie-phinf.pstatic.net/20200806_259/1596678056928hHCor_JPEG/movie_image.jpg,['7.91'],['0.01']
60,파리 텍사스,https://movie-phinf.pstatic.net/20111222_234/1324537349811QtvBC_JPEG/movie_image.jpg,['8.66'],['0.01']
61,모든 것을 벗어던진 특별한 여행,https://movie-phinf.pstatic.net/20200701_283/1593570186708beLiu_JPEG/movie_image.jpg,['7.05'],['0.01']
62,카오산 탱고,https://movie-phinf.pstatic.net/20200716_23/1594876721976Aaekz_JPEG/movie_image.jpg,['7.19'],['0.01']
63,이별식당,https://movie-phinf.pstatic.net/20200804_225/1596503417861Hf6Vs_JPEG/movie_image.jpg,['8.11'],['0.01']
64,개와 고양이를 위한 시간,https://movie-phinf.pstatic.net/20200811_133/1597125566341SIFHK_JPEG/movie_image.jpg,['9.30'],['0.01']
65,바르다가 사랑한 얼굴들,https://movie-phinf.pstatic.net/20180525_277/15272258828538Svfz_JPEG/movie_image.jpg,['8.88'],['0.01']
66,더 테이블,https://movie-phinf.pstatic.net/20170803_104/1501721449407bMw1k_JPEG/movie_image.jpg,['8.00'],['0.01']
67,멋진 하루,https://movie-phinf.pstatic.net/20111222_166/1324555016338mEtyB_JPEG/movie_image.jpg,['8.20'],['0.01']
68,쉘부르의 우산,https://movie-phinf.pstatic.net/20190726_57/1564118789137SblIi_JPEG/movie_image.jpg,['8.79'],['0.01']
69,어게인,https://movie-phinf.pstatic.net/20200716_104/1594889394476BQVUn_JPEG/movie_image.jpg,['7.31'],['0.01']
70,이십일세기 소녀,https://movie-phinf.pstatic.net/20200811_194/1597129278916imTd6_JPEG/movie_image.jpg,['4.08'],['0.01']
71,이장,https://movie-phinf.pstatic.net/20200310_275/1583820865612VfIMX_JPEG/movie_image.jpg,['8.21'],['0.01']
72,파밍 보이즈,https://movie-phinf.pstatic.net/20170628_5/149861218190464Hlx_JPEG/movie_image.jpg,['9.02'],['0.01']
73,패터슨,https://movie-phinf.pstatic.net/20171201_268/1512091523281xefqh_JPEG/movie_image.jpg,['8.30'],['0.01']
74,프리저베이션 홀 재즈밴드,https://movie-phinf.pstatic.net/20200320_133/1584679306551WJBnx_JPEG/movie_image.jpg,['6.00'],['0.01']
75,환상속의 그대,https://movie-phinf.pstatic.net/20130422_291/1366597091050r6TwI_JPEG/movie_image.jpg,['7.79'],['0.01']
76,500일의 썸머,https://movie-phinf.pstatic.net/20160609_268/1465448526366Lib2y_JPEG/movie_image.jpg,['8.43'],['0.01']
77,가버나움,https://movie-phinf.pstatic.net/20190109_149/1546998123676c6LjJ_JPEG/movie_image.jpg,['9.59'],['0.01']
78,걸작,https://movie-phinf.pstatic.net/20190314_131/155254297389202BLf_JPEG/movie_image.jpg,['8.68'],['0.01']
79,고스트 오브 워,https://movie-phinf.pstatic.net/20200821_165/1597998176466dc4sY_JPEG/movie_image.jpg,['7.52'],['0.01']
80,나는보리,https://movie-phinf.pstatic.net/20200416_24/1587010149888p3TDs_JPEG/movie_image.jpg,['9.35'],['0.01']
81,이미지 준비중입니다.,https://ssl.pstatic.net/static/movie/2012/09/dft_img99x141.png,['0.00'],['0.01']
82,내일,https://movie-phinf.pstatic.net/20180326_129/1522040523765cTnMD_JPEG/movie_image.jpg,['9.12'],['0.01']
83,다시 태어나도 우리,https://movie-phinf.pstatic.net/20170831_207/1504142664133FKxXK_JPEG/movie_image.jpg,['9.35'],['0.01']
84,라스트 씬,https://movie-phinf.pstatic.net/20191122_67/1574389873512V1xgX_JPEG/movie_image.jpg,['7.75'],['0.01']
85,몽마르트 파파,https://movie-phinf.pstatic.net/20191213_285/1576202593395PFG87_JPEG/movie_image.jpg,['9.42'],['0.01']
86,물의 기억,https://movie-phinf.pstatic.net/20190425_279/1556182902698EbmdE_JPEG/movie_image.jpg,['7.29'],['0.01']
87,밤쉘 세상을 바꾼 폭탄선언,https://movie-phinf.pstatic.net/20200714_8/159470231005830mtE_JPEG/movie_image.jpg,['8.35'],['0.01']
88,백년의 기억,https://movie-phinf.pstatic.net/20200601_137/1590972739719cNr1c_JPEG/movie_image.jpg,['4.55'],['0.01']
89,벌새,https://movie-phinf.pstatic.net/20190805_121/1564969695835Iq9Qc_JPEG/movie_image.jpg,['8.76'],['0.01']
90,부다페스트 스토리,https://movie-phinf.pstatic.net/20200730_27/159607084886560IJo_JPEG/movie_image.jpg,['7.74'],['0.01']
91,부력,https://movie-phinf.pstatic.net/20200526_244/1590468036474NgHEg_JPEG/movie_image.jpg,['8.78'],['0.01']
92,브리짓 존스의 일기,https://movie-phinf.pstatic.net/20111216_25/1324029438334jIoaL_JPEG/movie_image.jpg,['8.68'],['0.01']
93,사돈의 팔촌,https://movie-phinf.pstatic.net/20160412_170/1460443553630TVAS7_JPEG/movie_image.jpg,['7.83'],['0.01']
94,사랑과 영혼,https://movie-phinf.pstatic.net/20171206_274/1512521901491RlovP_JPEG/movie_image.jpg,['9.20'],['0.01']
95,산티아고의 흰 지팡이,https://movie-phinf.pstatic.net/20200224_203/1582521580654NE5i0_JPEG/movie_image.jpg,['9.06'],['0.01']
96,성혜의 나라,https://movie-phinf.pstatic.net/20200117_234/1579244142345CI1m5_JPEG/movie_image.jpg,['7.52'],['0.01']
97,셰이프 오브 뮤직 알렉상드르 데스플라,https://movie-phinf.pstatic.net/20200720_90/1595237359158nxgBt_JPEG/movie_image.jpg,['8.46'],['0.01']
98,아이 캔 온리 이매진,https://movie-phinf.pstatic.net/20200512_162/1589261759830k9dcd_JPEG/movie_image.jpg,['8.36'],['0.01']
99,애프터 웨딩 인 뉴욕,https://movie-phinf.pstatic.net/20200325_124/1585104977889IXrqR_JPEG/movie_image.jpg,['8.05'],['0.01']
100,야구소녀,https://movie-phinf.pstatic.net/20200525_18/15903972457946Q9Bc_JPEG/movie_image.jpg,['8.15'],['0.01']
101,어서오시게스트하우스,https://movie-phinf.pstatic.net/20200721_21/159529714754610k3H_JPEG/movie_image.jpg,['8.53'],['0.01']
102,에곤 쉴레 욕망이 그린 그림,https://movie-phinf.pstatic.net/20161121_82/1479690891808m6PHf_JPEG/movie_image.jpg,['7.92'],['0.01']
103,우리들,https://movie-phinf.pstatic.net/20160519_125/1463633078640zLLTy_JPEG/movie_image.jpg,['9.27'],['0.01']
104,윤희에게,https://movie-phinf.pstatic.net/20191203_217/1575347950420leqmB_JPEG/movie_image.jpg,['8.98'],['0.01']
105,인생 후르츠,https://movie-phinf.pstatic.net/20181108_177/1541638839613tEVIW_JPEG/movie_image.jpg,['9.02'],['0.01']
106,지금은맞고그때는틀리다,https://movie-phinf.pstatic.net/20150827_95/1440654096792IEz1B_JPEG/movie_image.jpg,['6.46'],['0.01']
107,찬실이는 복도 많지,https://movie-phinf.pstatic.net/20200214_123/1581659934908mAoGh_JPEG/movie_image.jpg,['8.65'],['0.01']
108,캐리비안 해적과 마법 다이아몬드,https://movie-phinf.pstatic.net/20200810_126/1597026542591mHKCV_JPEG/movie_image.jpg,['4.11'],['0.01']
109,톰보이,https://movie-phinf.pstatic.net/20200417_103/1587088820009DdKKx_JPEG/movie_image.jpg,['9.20'],['0.01']
110,트루스,https://movie-phinf.pstatic.net/20160818_245/14714863438150aWlD_JPEG/movie_image.jpg,['8.60'],['0.01']
111,하트,https://movie-phinf.pstatic.net/20200206_18/1580968822917immgo_JPEG/movie_image.jpg,['7.80'],['0.01']
112,도둑들,https://movie-phinf.pstatic.net/20120718_209/1342589585791cltsr_JPEG/movie_image.jpg,['7.63'],미개봉
113,리메인,https://movie-phinf.pstatic.net/20200727_86/1595815795271qESh3_JPEG/movie_image.jpg,['8.00'],미개봉
114,미스 사이공 25주년 특별 공연,https://movie-phinf.pstatic.net/20161103_256/1478160313724rHuDS_JPEG/movie_image.jpg,['9.20'],미개봉
115,욕창,https://movie-phinf.pstatic.net/20200617_91/1592361542959sLERz_JPEG/movie_image.jpg,['8.39'],미개봉
116,"집에 돌아오면, 언제나 아내가 죽은 척을 하고 있다",https://movie-phinf.pstatic.net/20200117_278/1579238880760El0Oi_JPEG/movie_image.jpg,['7.17'],미개봉
